epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9375,1.8626,3.81238,4.67763,1.60187,0.00105,0.05357,0.0009,0.00053,0.00035,0.01786,0.00024,0.00017,1.41719,3.17323,4.71198,1.48583,1.334e-05,1.334e-05,1.334e-05
2,32.3648,1.74919,3.58181,4.57298,1.46158,0.00083,0.03571,0.0008,0.00049,0,0,0,0,1.22201,2.92055,4.5976,1.30506,3.30198e-05,3.30198e-05,3.30198e-05
3,48.0944,1.45461,3.05383,4.43802,1.28694,0.02197,0.06889,0.03941,0.03902,0.02128,0.04911,0.0388,0.03482,1.1249,2.65698,4.46664,1.16456,5.23035e-05,5.23035e-05,5.23035e-05
4,64.0802,1.29173,2.82123,4.28621,1.18672,0.01749,0.08867,0.03926,0.03799,0.01703,0.07081,0.03778,0.0335,1.14795,2.44672,4.38587,1.13681,7.11909e-05,7.11909e-05,7.11909e-05
5,78.7724,1.35654,2.48498,4.10412,1.2241,0.01582,0.31896,0.06499,0.03789,0.0095,0.24052,0.02587,0.02028,1.12061,2.48017,4.33416,1.09999,8.96822e-05,8.96822e-05,8.96822e-05
6,93.9341,1.26613,2.56203,3.98998,1.11522,0.01451,0.33242,0.06348,0.04272,0.0094,0.26607,0.04086,0.02921,1.06135,2.47819,4.30972,1.07685,0.000107777,0.000107777,0.000107777
7,109.324,1.25129,2.30403,4.03332,1.13501,0.02957,0.26229,0.10881,0.05148,0.01007,0.15453,0.05628,0.03928,1.04811,2.41964,4.28151,1.0645,0.000125476,0.000125476,0.000125476
8,123.742,1.20932,2.31732,3.81727,1.18742,0.02077,0.26422,0.11201,0.05691,0.00944,0.15646,0.06002,0.04335,1.04861,2.41667,4.2464,1.059,0.000142779,0.000142779,0.000142779
9,137.499,1.21755,2.23516,3.62156,1.13023,0.01405,0.27383,0.12366,0.06384,0.00933,0.28338,0.06884,0.04903,1.07715,2.4537,4.19791,1.07654,0.000159685,0.000159685,0.000159685
10,152.031,1.1872,2.11955,3.63099,1.05042,0.01322,0.39883,0.11024,0.06145,0.00836,0.27953,0.06383,0.04289,1.06574,2.39702,4.17966,1.07244,0.000176195,0.000176195,0.000176195
11,165.327,1.23221,2.33392,3.44786,1.11945,0.01204,0.40076,0.10111,0.05862,0.00981,0.31655,0.06179,0.04613,1.04881,2.32656,4.12565,1.05819,0.000192309,0.000192309,0.000192309
12,180.928,1.21916,2.33851,3.35195,1.1154,0.01231,0.4046,0.10084,0.05717,0.00993,0.31848,0.06219,0.04462,1.05377,2.30164,4.10708,1.05863,0.000208027,0.000208027,0.000208027
13,196.344,1.34887,2.54661,3.29826,1.10845,0.01052,0.2579,0.10388,0.0629,0.00869,0.17562,0.06596,0.04539,1.0635,2.21908,4.02472,1.04495,0.000223349,0.000223349,0.000223349
14,212.438,1.18859,1.98337,3.00403,1.06521,0.01109,0.26367,0.12554,0.07188,0.00973,0.18523,0.08081,0.05336,1.05182,2.21794,3.97483,1.0315,0.000238274,0.000238274,0.000238274
15,228.621,1.27342,2.47311,2.85709,1.19658,0.01611,0.42768,0.14851,0.0865,0.01452,0.34732,0.10192,0.07002,1.07311,2.18108,3.92749,1.05405,0.000252804,0.000252804,0.000252804
16,244.339,1.2177,2.05302,2.73636,1.11681,0.01756,0.45323,0.17167,0.1022,0.01535,0.36902,0.13347,0.08631,1.0798,2.16542,3.88603,1.05745,0.000266937,0.000266937,0.000266937
17,259.994,1.22147,1.91884,2.46813,1.0725,0.02017,0.46477,0.21415,0.12593,0.0183,0.38441,0.1466,0.09168,1.19422,2.16303,3.78908,1.09012,0.000280674,0.000280674,0.000280674
18,275.172,1.21682,1.99723,2.54372,1.08341,0.02094,0.46477,0.22015,0.1498,0.01877,0.38249,0.16892,0.11156,1.16246,2.17408,3.74284,1.07555,0.000294014,0.000294014,0.000294014
